S_micro	T_micro	diff	mA	mB	nA	nB
230000	-259381	105111	230000	-259381	1	1
230000	-257381	103531	230000	-257381	1	1
230000	-255381	101967	230000	-255381	1	1
230000	-253381	100418	230000	-253381	1	1
230000	-251381	98885	230000	-251381	1	1
230000	-249381	97369	230000	-249381	1	1
230000	-247381	95870	230000	-247381	1	1
230000	-245381	94391	230000	-245381	1	1
230000	-243381	92931	230000	-243381	1	1
230000	-241381	91491	230000	-241381	1	1
230000	-239381	90073	230000	-239381	1	1
230000	-237381	88677	230000	-237381	1	1
230000	-235381	87304	230000	-235381	1	1
230000	-233381	85956	230000	-233381	1	1
230000	-231381	84634	230000	-231381	1	1
230000	-229381	83339	230000	-229381	1	1
230000	-227381	82073	230000	-227381	1	1
230000	-225381	80836	230000	-225381	1	1
230000	-223381	79630	230000	-223381	1	1
230000	-221381	78456	230000	-221381	1	1
230000	-219381	77316	230000	-219381	1	1
230000	-217381	76212	230000	-217381	1	1
230000	-215381	75145	230000	-215381	1	1
230000	-213381	74117	230000	-213381	1	1
230000	-211381	73128	230000	-211381	1	1
230000	-209381	72182	230000	-209381	1	1
230000	-207381	71279	230000	-207381	1	1
230000	-205381	70421	230000	-205381	1	1
230000	-203381	69611	230000	-203381	1	1
230000	-201381	68849	230000	-201381	1	1
230000	-199381	68137	230000	-199381	1	1
230000	-197381	67477	230000	-197381	1	1
230000	-195381	66870	230000	-195381	1	1
230000	-193381	66318	230000	-193381	1	1
230000	-191381	65822	230000	-191381	1	1
230000	-189381	65383	230000	-189381	1	1
230000	-187381	65004	230000	-187381	1	1
230000	-185381	64683	230000	-185381	1	1
230000	-183381	64424	230000	-183381	1	1
230000	-181381	64225	230000	-181381	1	1
230000	-179381	64089	230000	-179381	1	1
230000	-177381	64014	230000	-177381	1	1
230000	-175381	64002	230000	-175381	1	1
230000	-173381	64053	230000	-173381	1	1
230000	-171381	64166	230000	-171381	1	1
230000	-169381	64341	230000	-169381	1	1
230000	-167381	64577	230000	-167381	1	1
230000	-165381	64874	230000	-165381	1	1
230000	-163381	65232	230000	-163381	1	1
230000	-161381	65648	230000	-161381	1	1
230000	-159381	66122	230000	-159381	1	1
230000	-157381	66653	230000	-157381	1	1
230000	-155381	67239	230000	-155381	1	1
230000	-153381	67879	230000	-153381	1	1
230000	-151381	68571	230000	-151381	1	1
230000	-149381	69315	230000	-149381	1	1
230000	-147381	70107	230000	-147381	1	1
230000	-145381	70947	230000	-145381	1	1
230000	-143381	71833	230000	-143381	1	1
230000	-141381	72763	230000	-141381	1	1
230000	-139381	73735	230000	-139381	1	1
230000	-137381	74749	230000	-137381	1	1
230000	-135381	75801	230000	-135381	1	1
230000	-133381	76891	230000	-133381	1	1
230000	-131381	78018	230000	-131381	1	1
230000	-129381	79179	230000	-129381	1	1
230000	-127381	80372	230000	-127381	1	1
230000	-125381	81598	230000	-125381	1	1
230000	-123381	82853	230000	-123381	1	1
230000	-121381	84138	230000	-121381	1	1
230000	-119381	85450	230000	-119381	1	1
230000	-117381	86788	230000	-117381	1	1
230000	-115381	88151	230000	-115381	1	1
230000	-113381	89538	230000	-113381	1	1
230000	-111381	90948	230000	-111381	1	1
230000	-109381	92380	230000	-109381	1	1
230000	-107381	93832	230000	-107381	1	1
232000	-261381	105517	232000	-261381	1	1
232000	-259381	103905	232000	-259381	1	1
232000	-257381	102307	232000	-257381	1	1
232000	-255381	100724	232000	-255381	1	1
232000	-253381	99155	232000	-253381	1	1
232000	-251381	97602	232000	-251381	1	1
232000	-249381	96066	232000	-249381	1	1
232000	-247381	94547	232000	-247381	1	1
232000	-245381	93046	232000	-245381	1	1
232000	-243381	91565	232000	-243381	1	1
232000	-241381	90103	232000	-241381	1	1
232000	-239381	88663	232000	-239381	1	1
232000	-237381	87244	232000	-237381	1	1
232000	-235381	85849	232000	-235381	1	1
232000	-233381	84478	232000	-233381	1	1
232000	-231381	83132	232000	-231381	1	1
232000	-229381	81814	232000	-229381	1	1
232000	-227381	80523	232000	-227381	1	1
232000	-225381	79262	232000	-225381	1	1
232000	-223381	78031	232000	-223381	1	1
232000	-221381	76833	232000	-221381	1	1
232000	-219381	75669	232000	-219381	1	1
232000	-217381	74541	232000	-217381	1	1
232000	-215381	73449	232000	-215381	1	1
232000	-213381	72397	232000	-213381	1	1
232000	-211381	71384	232000	-211381	1	1
232000	-209381	70415	232000	-209381	1	1
232000	-207381	69489	232000	-207381	1	1
232000	-205381	68609	232000	-205381	1	1
232000	-203381	67776	232000	-203381	1	1
232000	-201381	66993	232000	-201381	1	1
232000	-199381	66262	232000	-199381	1	1
232000	-197381	65583	232000	-197381	1	1
232000	-195381	64958	232000	-195381	1	1
232000	-193381	64390	232000	-193381	1	1
232000	-191381	63879	232000	-191381	1	1
232000	-189381	63427	232000	-189381	1	1
232000	-187381	63035	232000	-187381	1	1
232000	-185381	62705	232000	-185381	1	1
232000	-183381	62437	232000	-183381	1	1
232000	-181381	62233	232000	-181381	1	1
