name	Dmax	r0	r1	r2	r3	r4	eps	z	chi2	k	maxQ	L1	BIC
ln_sin_theta12	9	0	0	0.333333333333	0	-0.25	0.00728030218008	0.728030218008	0.530027998332	2	8	0.583333333333	4.5489038232
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	7	0.2	4.02175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	8	0.2	4.12175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	9	0.2	4.22175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	-0.333333333333	-0.166666666667	-0.00637965261566	-0.637965261566	0.406999674965	2	6	0.5	4.22587549983
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0.25	-0.222222222222	0.00680825445694	0.680825445694	0.463523287505	2	9	0.472222222222	4.58239911237
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	-0.333333333333	-0.166666666667	-0.00637965261566	-0.637965261566	0.406999674965	2	6	0.5	4.22587549983
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	6	0.2	3.92175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	7	0.2	4.02175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	8	0.2	4.12175269696
ln_sin_theta12	9	0	0	0	0.25	-0.222222222222	0.00680825445694	0.680825445694	0.463523287505	2	9	0.472222222222	4.58239911237
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	9	0.2	4.22175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0.25	0.125	0	0	0	0.00730072351615	0.730072351615	0.533005638592	2	8	0.375	4.55188146346
ln_sin_theta12	11	0.4	-0.222222222222	0	0	0	0.00300446968501	0.300446968501	0.0902683808813	2	9	0.622222222222	4.20914420575
ln_sin_theta12	11	0.25	0.125	0	0	0	0.00730072351615	0.730072351615	0.533005638592	2	8	0.375	4.55188146346
ln_sin_theta12	11	0.222222222222	0.181818181818	0	0	0	-0.00790007101522	-0.790007101522	0.624111220456	2	11	0.40404040404	4.94298704532
ln_sin_theta12	11	0.333333333333	0	0.142857142857	0	0	-0.0134516213872	-1.34516213872	1.80946117945	2	7	0.47619047619	5.72833700432
ln_sin_theta12	11	0.333333333333	0	0.125	0	0	0.00698998371722	0.698998371722	0.48859872367	2	8	0.458333333333	4.50747454854
ln_sin_theta12	11	0.25	0	-0.222222222222	0	0	-0.00555466633606	-0.555466633606	0.308543181049	2	9	0.472222222222	4.42741900592
ln_sin_theta12	11	0.333333333333	0	0.142857142857	0	0	-0.0134516213872	-1.34516213872	1.80946117945	2	7	0.47619047619	5.72833700432
ln_sin_theta12	11	0.333333333333	0	0.125	0	0	0.00698998371722	0.698998371722	0.48859872367	2	8	0.458333333333	4.50747454854
