S_micro	T_micro	diff	mA	mB	nA	nB
225000	-183381	69393	225000	-183381	1	1
225000	-182381	69294	225000	-182381	1	1
225000	-181381	69209	225000	-181381	1	1
225000	-180381	69138	225000	-180381	1	1
225000	-179381	69082	225000	-179381	1	1
225000	-178381	69041	225000	-178381	1	1
225000	-177381	69013	225000	-177381	1	1
225000	-176381	69001	225000	-176381	1	1
225000	-175381	69002	225000	-175381	1	1
225000	-174381	69018	225000	-174381	1	1
225000	-173381	69049	225000	-173381	1	1
225000	-172381	69094	225000	-172381	1	1
225000	-171381	69154	225000	-171381	1	1
225000	-170381	69228	225000	-170381	1	1
225000	-169381	69316	225000	-169381	1	1
225000	-168381	69419	225000	-168381	1	1
225000	-167381	69536	225000	-167381	1	1
225000	-166381	69667	225000	-166381	1	1
225000	-165381	69812	225000	-165381	1	1
225000	-164381	69971	225000	-164381	1	1
225000	-163381	70144	225000	-163381	1	1
225000	-162381	70331	225000	-162381	1	1
225000	-161381	70531	225000	-161381	1	1
225000	-160381	70745	225000	-160381	1	1
225000	-159381	70973	225000	-159381	1	1
225000	-158381	71213	225000	-158381	1	1
225000	-157381	71467	225000	-157381	1	1
225000	-156381	71734	225000	-156381	1	1
225000	-155381	72014	225000	-155381	1	1
225000	-154381	72307	225000	-154381	1	1
225000	-153381	72612	225000	-153381	1	1
225000	-152381	72930	225000	-152381	1	1
225000	-151381	73260	225000	-151381	1	1
225000	-150381	73602	225000	-150381	1	1
225000	-149381	73956	225000	-149381	1	1
225000	-148381	74322	225000	-148381	1	1
225000	-147381	74699	225000	-147381	1	1
225000	-146381	75088	225000	-146381	1	1
225000	-145381	75488	225000	-145381	1	1
225000	-144381	75899	225000	-144381	1	1
225000	-143381	76321	225000	-143381	1	1
225000	-142381	76754	225000	-142381	1	1
225000	-141381	77197	225000	-141381	1	1
225000	-140381	77651	225000	-140381	1	1
225000	-139381	78114	225000	-139381	1	1
225000	-138381	78588	225000	-138381	1	1
225000	-137381	79072	225000	-137381	1	1
225000	-136381	79565	225000	-136381	1	1
225000	-135381	80068	225000	-135381	1	1
225000	-134381	80580	225000	-134381	1	1
225000	-133381	81101	225000	-133381	1	1
225000	-132381	81630	225000	-132381	1	1
225000	-131381	82169	225000	-131381	1	1
