252000,-183264	42623
252000,-185264	43009
252000,-187264	43484
252000,-189264	44044
252000,-191264	44687
252000,-193264	45409
252000,-195264	46207
252000,-197264	47076
252000,-199264	48012
252000,-201264	49012
252000,-203264	50073
252000,-205264	51189
252000,-207264	52358
252000,-209264	53576
252000,-211264	54841
252000,-213264	56148
252000,-215264	57494
252000,-217264	58878
252000,-219264	60297
252000,-221264	61748
252000,-223264	63228
252000,-225264	64737
252000,-227264	66272
252000,-229264	67831
252000,-231264	69412
252000,-233264	71015
252000,-235264	72637
252000,-237264	74278
252000,-239264	75936
252000,-241264	77610
254000,-127264	63049
254000,-129264	61516
254000,-131264	60010
254000,-133264	58535
254000,-135264	57091
254000,-137264	55681
254000,-139264	54309
254000,-141264	52977
254000,-143264	51687
254000,-145264	50445
254000,-147264	49251
254000,-149264	48112
254000,-151264	47030
254000,-153264	46010
254000,-155264	45055
254000,-157264	44170
254000,-159264	43360
254000,-161264	42628
254000,-163264	41978
254000,-165264	41415
254000,-167264	40942
254000,-169264	40563
254000,-171264	40279
254000,-173264	40093
254000,-175264	40006
254000,-177264	40019
254000,-179264	40132
254000,-181264	40344
254000,-183264	40654
254000,-185264	41058
254000,-187264	41555
254000,-189264	42141
254000,-191264	42813
254000,-193264	43566
254000,-195264	44397
254000,-197264	45300
254000,-199264	46273
254000,-201264	47310
254000,-203264	48407
254000,-205264	49561
254000,-207264	50768
254000,-209264	52023
254000,-211264	53324
254000,-213264	54668
254000,-215264	56050
254000,-217264	57469
254000,-219264	58921
254000,-221264	60405
254000,-223264	61918
254000,-225264	63458
254000,-227264	65023
254000,-229264	66611
254000,-231264	68221
254000,-233264	69851
254000,-235264	71499
254000,-237264	73166
254000,-239264	74848
254000,-241264	76546
256000,-127264	61799
256000,-129264	60234
256000,-131264	58696
256000,-133264	57187
256000,-135264	55708
256000,-137264	54263
256000,-139264	52853
256000,-141264	51483
256000,-143264	50156
256000,-145264	48874
256000,-147264	47641
256000,-149264	46463
256000,-151264	45341
256000,-153264	44282
256000,-155264	43289
256000,-157264	42367
256000,-159264	41522
256000,-161264	40757
256000,-163264	40077
256000,-165264	39487
256000,-167264	38991
256000,-169264	38592
256000,-171264	38293
256000,-173264	38098
256000,-175264	38007
256000,-177264	38021
256000,-179264	38139
256000,-181264	38362
256000,-183264	38688
256000,-185264	39112
256000,-187264	39634
256000,-189264	40248
256000,-191264	40951
256000,-193264	41737
256000,-195264	42604
256000,-197264	43544
256000,-199264	44555
256000,-201264	45631
256000,-203264	46768
256000,-205264	47962
256000,-207264	49208
256000,-209264	50502
256000,-211264	51841
256000,-213264	53222
256000,-215264	54641
256000,-217264	56095
256000,-219264	57582
256000,-221264	59100
256000,-223264	60645
256000,-225264	62216
256000,-227264	63812
256000,-229264	65429
256000,-231264	67067
256000,-233264	68725
256000,-235264	70400
256000,-237264	72092
256000,-239264	73799
256000,-241264	75520
258000,-127264	60590
258000,-129264	58993
258000,-131264	57422
258000,-133264	55878
258000,-135264	54363
258000,-137264	52881
258000,-139264	51434
258000,-141264	50025
258000,-143264	48658
258000,-145264	47336
258000,-147264	46062
258000,-149264	44842
258000,-151264	43679
258000,-153264	42578
258000,-155264	41544
258000,-157264	40583
258000,-159264	39700
258000,-161264	38899
258000,-163264	38186
258000,-165264	37566
258000,-167264	37044
258000,-169264	36624
258000,-171264	36310
258000,-173264	36103
258000,-175264	36007
258000,-177264	36022
258000,-179264	36147
258000,-181264	36382
258000,-183264	36725
258000,-185264	37172
258000,-187264	37721
258000,-189264	38365
258000,-191264	39102
258000,-193264	39925
258000,-195264	40830
258000,-197264	41810
258000,-199264	42862
258000,-201264	43980
258000,-203264	45158
258000,-205264	46393
258000,-207264	47680
258000,-209264	49015
258000,-211264	50393
258000,-213264	51813
258000,-215264	53269
258000,-217264	54760
258000,-219264	56282
258000,-221264	57834
258000,-223264	59412
258000,-225264	61015
258000,-227264	62641
258000,-229264	64288
258000,-231264	65955
258000,-233264	67639
258000,-235264	69341
258000,-237264	71058
258000,-239264	72789
258000,-241264	74534
260000,-127264	59423
260000,-129264	57794
260000,-131264	56189
260000,-133264	54611
260000,-135264	53060
260000,-137264	51541
260000,-139264	50055
260000,-141264	48606
260000,-143264	47197
260000,-145264	45833
260000,-147264	44516
260000,-149264	43252
260000,-151264	42046
260000,-153264	40901
260000,-155264	39824
260000,-157264	38820
260000,-159264	37895
260000,-161264	37056
260000,-163264	36307
260000,-165264	35654
260000,-167264	35104
260000,-169264	34660
260000,-171264	34328
260000,-173264	34109
260000,-175264	34007
260000,-177264	34023
260000,-179264	34156
260000,-181264	34405
260000,-183264	34767
260000,-185264	35239
260000,-187264	35817
260000,-189264	36495
260000,-191264	37269
260000,-193264	38131
260000,-195264	39078
260000,-197264	40101
260000,-199264	41197
260000,-201264	42358
260000,-203264	43581
260000,-205264	44859
260000,-207264	46189
260000,-209264	47565
260000,-211264	48985
260000,-213264	50444
260000,-215264	51939
260000,-217264	53466
260000,-219264	55025
260000,-221264	56611
260000,-223264	58222
260000,-225264	59857
260000,-227264	61514
260000,-229264	63190
260000,-231264	64885
260000,-233264	66597
260000,-235264	68324
260000,-237264	70066
260000,-239264	71821
260000,-241264	73589
262000,-127264	58302
262000,-129264	56641
262000,-131264	55002
262000,-133264	53388
262000,-135264	51801
262000,-137264	50244
262000,-139264	48718
262000,-141264	47229
262000,-143264	45778
262000,-145264	44370
262000,-147264	43008
262000,-149264	41699
262000,-151264	40445
