S_micro\tT_micro\tdiff\tbasin
S_micro	T_micro	diff	0
269000	-202000	36069	0
269000	-201000	35355	0
269000	-200000	34655	0
269000	-199000	33970	0
269000	-198000	33301	0
269000	-197000	32649	0
269000	-196000	32015	0
269000	-195000	31400	0
269000	-194000	30805	0
269000	-193000	30232	0
269000	-192000	29681	0
269000	-191000	29154	0
269000	-190000	28653	0
269000	-189000	28178	0
269000	-188000	27730	0
269000	-187000	27313	0
269000	-186000	26925	0
269000	-185000	26570	0
269000	-184000	26248	0
269000	-183000	25961	0
269000	-182000	25709	0
269000	-181000	25495	0
269000	-180000	25317	0
269000	-179000	25179	0
269000	-178000	25079	0
269000	-177000	25019	0
269000	-176000	25000	0
269000	-175000	25019	0
269000	-174000	25079	0
269000	-173000	25179	0
269000	-172000	25317	0
269000	-171000	25495	0
269000	-170000	25709	0
269000	-169000	25961	0
269000	-168000	26248	0
269000	-167000	26570	0
269000	-166000	26925	0
269000	-165000	27313	0
269000	-164000	27730	0
269000	-163000	28178	0
269000	-162000	28653	0
269000	-161000	29154	0
269000	-160000	29681	0
269000	-159000	30232	0
269000	-158000	30805	0
269000	-157000	31400	0
269000	-156000	32015	0
269000	-155000	32649	0
269000	-154000	33301	0
269000	-153000	33970	0
269000	-152000	34655	0
269000	-151000	35355	0
269000	-150000	36069	0
269000	-149000	36796	0
269000	-148000	37536	0
269000	-147000	38288	0
269000	-146000	39051	0
270000	-218000	48373	0
270000	-217000	47507	0
270000	-216000	46647	0
270000	-215000	45793	0
270000	-214000	44944	0
270000	-213000	44102	0
270000	-212000	43266	0
270000	-211000	42438	0
270000	-210000	41617	0
270000	-209000	40804	0
270000	-208000	40000	0
270000	-207000	39204	0
270000	-206000	38418	0
270000	-205000	37643	0
270000	-204000	36878	0
270000	-203000	36124	0
270000	-202000	35383	0
270000	-201000	34655	0
270000	-200000	33941	0
270000	-199000	33241	0
270000	-198000	32557	0
270000	-197000	31890	0
270000	-196000	31240	0
270000	-195000	30610	0
270000	-194000	30000	0
270000	-193000	29410	0
270000	-192000	28844	0
270000	-191000	28301	0
270000	-190000	27784	0
270000	-189000	27294	0
270000	-188000	26832	0
270000	-187000	26400	0
270000	-186000	26000	0
270000	-185000	25632	0
270000	-184000	25298	0
270000	-183000	25000	0
270000	-182000	24738	0
270000	-181000	24515	0
270000	-180000	24331	0
270000	-179000	24186	0
270000	-178000	24083	0
270000	-177000	24020	0
270000	-176000	24000	0
270000	-175000	24020	0
270000	-174000	24083	0
270000	-173000	24186	0
270000	-172000	24331	0
270000	-171000	24515	0
270000	-170000	24738	0
270000	-169000	25000	0
270000	-168000	25298	0
270000	-167000	25632	0
270000	-166000	26000	0
270000	-165000	26400	0
270000	-164000	26832	0
270000	-163000	27294	0
270000	-162000	27784	0
270000	-161000	28301	0
270000	-160000	28844	0
270000	-159000	29410	0
270000	-158000	30000	0
270000	-157000	30610	0
270000	-156000	31240	0
270000	-155000	31890	0
270000	-154000	32557	0
270000	-153000	33241	0
270000	-152000	33941	0
270000	-151000	34655	0
270000	-150000	35383	0
270000	-149000	36124	0
270000	-148000	36878	0
270000	-147000	37643	0
270000	-146000	38418	0
271000	-218000	47885	0
271000	-217000	47010	0
271000	-216000	46141	0
271000	-215000	45276	0
271000	-214000	44418	0
271000	-213000	43566	0
271000	-212000	42720	0
271000	-211000	41880	0
271000	-210000	41048	0
271000	-209000	40224	0
271000	-208000	39408	0
271000	-207000	38600	0
271000	-206000	37802	0
271000	-205000	37013	0
271000	-204000	36235	0
271000	-203000	35468	0
271000	-202000	34713	0
271000	-201000	33970	0
271000	-200000	33241	0
271000	-199000	32526	0
271000	-198000	31827	0
271000	-197000	31144	0
271000	-196000	30479	0
271000	-195000	29832	0
271000	-194000	29206	0
271000	-193000	28600	0
271000	-192000	28017	0
271000	-191000	27459	0
271000	-190000	26925	0
271000	-189000	26419	0
271000	-188000	25942	0
271000	-187000	25495	0
271000	-186000	25079	0
271000	-185000	24698	0
271000	-184000	24351	0
271000	-183000	24041	0
271000	-182000	23769	0
271000	-181000	23537	0
271000	-180000	23345	0
271000	-179000	23194	0
271000	-178000	23086	0
271000	-177000	23021	0
271000	-176000	23000	0
271000	-175000	23021	0
271000	-174000	23086	0
271000	-173000	23194	0
271000	-172000	23345	0
271000	-171000	23537	0
271000	-170000	23769	0
271000	-169000	24041	0
271000	-168000	24351	0
271000	-167000	24698	0
271000	-166000	25079	0
271000	-165000	25495	0
271000	-164000	25942	0
271000	-163000	26419	0
271000	-162000	26925	0
271000	-161000	27459	0
271000	-160000	28017	0
271000	-159000	28600	0
271000	-158000	29206	0
271000	-157000	29832	0
271000	-156000	30479	0
271000	-155000	31144	0
271000	-154000	31827	0
271000	-153000	32526	0
271000	-152000	33241	0
271000	-151000	33970	0
271000	-150000	34713	0
271000	-149000	35468	0
271000	-148000	36235	0
271000	-147000	37013	0
271000	-146000	37802	0
272000	-218000	47413	0
272000	-217000	46529	0
272000	-216000	45650	0
272000	-215000	44777	0
272000	-214000	43908	0
272000	-213000	43046	0
272000	-212000	42190	0
272000	-211000	41340	0
272000	-210000	40496	0
272000	-209000	39661	0
272000	-208000	38832	0
272000	-207000	38013	0
272000	-206000	37202	0
272000	-205000	36400	0
272000	-204000	35608	0
272000	-203000	34828	0
272000	-202000	34058	0
272000	-201000	33301	0
272000	-200000	32557	0
272000	-199000	31827	0
272000	-198000	31112	0
272000	-197000	30413	0
272000	-196000	29732	0
272000	-195000	29068	0
272000	-194000	28425	0
272000	-193000	27802	0
272000	-192000	27202	0
272000	-191000	26627	0
272000	-190000	26076	0
272000	-189000	25553	0
272000	-188000	25059	0
272000	-187000	24596	0
272000	-186000	24166	0
272000	-185000	23769	0
272000	-184000	23409	0
272000	-183000	23086	0
272000	-182000	22803	0
272000	-181000	22561	0
272000	-180000	22360	0
272000	-179000	22203	0
272000	-178000	22090	0
272000	-177000	22022	0
272000	-176000	22000	0
272000	-175000	22022	0
272000	-174000	22090	0
272000	-173000	22203	0
272000	-172000	22360	0
272000	-171000	22561	0
272000	-170000	22803	0
272000	-169000	23086	0
272000	-168000	23409	0
272000	-167000	23769	0
272000	-166000	24166	0
272000	-165000	24596	0
272000	-164000	25059	0
272000	-163000	25553	0
272000	-162000	26076	0
272000	-161000	26627	0
272000	-160000	27202	0
272000	-159000	27802	0
272000	-158000	28425	0
272000	-157000	29068	0
272000	-156000	29732	0
272000	-155000	30413	0
272000	-154000	31112	0
272000	-153000	31827	0
272000	-152000	32557	0
272000	-151000	33301	0
272000	-150000	34058	0
272000	-149000	34828	0
272000	-148000	35608	0
272000	-147000	36400	0
272000	-146000	37202	0
273000	-218000	46957	0
273000	-217000	46065	0
273000	-216000	45177	0
273000	-215000	44294	0
273000	-214000	43416	0
273000	-213000	42544	0
273000	-212000	41677	0
273000	-211000	40816	0
273000	-210000	39962	0
273000	-209000	39115	0
273000	-208000	38275	0
273000	-207000	37443	0
273000	-206000	36619	0
273000	-205000	35805	0
273000	-204000	35000	0
273000	-203000	34205	0
273000	-202000	33421	0
273000	-201000	32649	0
273000	-200000	31890	0
273000	-199000	31144	0
273000	-198000	30413	0
273000	-197000	29698	0
273000	-196000	29000	0
273000	-195000	28319	0
273000	-194000	27658	0
273000	-193000	27018	0
273000	-192000	26400	0
273000	-191000	25806	0
273000	-190000	25238	0
273000	-189000	24698	0
273000	-188000	24186	0
273000	-187000	23706	0
273000	-186000	23259	0
273000	-185000	22847	0
273000	-184000	22472	0
273000	-183000	22135	0
273000	-182000	21840	0
273000	-181000	21587	0
273000	-180000	21377	0
273000	-179000	21213	0
273000	-178000	21095	0
273000	-177000	21023	0
273000	-176000	21000	0
273000	-175000	21023	0
273000	-174000	21095	0
273000	-173000	21213	0
273000	-172000	21377	0
273000	-171000	21587	0
273000	-170000	21840	0
273000	-169000	22135	0
273000	-168000	22472	0
273000	-167000	22847	0
273000	-166000	23259	0
273000	-165000	23706	0
273000	-164000	24186	0
273000	-163000	24698	0
273000	-162000	25238	0
273000	-161000	25806	0
273000	-160000	26400	0
273000	-159000	27018	0
273000	-158000	27658	0
273000	-157000	28319	0
273000	-156000	29000	0
273000	-155000	29698	0
273000	-154000	30413	0
273000	-153000	31144	0
273000	-152000	31890	0
273000	-151000	32649	0
273000	-150000	33421	0
273000	-149000	34205	0
273000	-148000	35000	0
273000	-147000	35805	0
273000	-146000	36619	0
274000	-218000	46518	0
274000	-217000	45617	0
274000	-216000	44721	0
274000	-215000	43829	0
274000	-214000	42941	0
274000	-213000	42059	0
274000	-212000	41182	0
274000	-211000	40311	0
274000	-210000	39446	0
274000	-209000	38587	0
274000	-208000	37735	0
274000	-207000	36891	0
274000	-206000	36055	0
274000	-205000	35227	0
274000	-204000	34409	0
274000	-203000	33600	0
274000	-202000	32802	0
274000	-201000	32015	0
274000	-200000	31240	0
274000	-199000	30479	0
274000	-198000	29732	0
274000	-197000	29000	0
274000	-196000	28284	0
274000	-195000	27586	0
274000	-194000	26907	0
274000	-193000	26248	0
274000	-192000	25612	0
274000	-191000	25000	0
274000	-190000	24413	0
274000	-189000	23853	0
274000	-188000	23323	0
274000	-187000	22825	0
274000	-186000	22360	0
274000	-185000	21931	0
274000	-184000	21540	0
274000	-183000	21189	0
274000	-182000	20880	0
274000	-181000	20615	0
274000	-180000	20396	0
274000	-179000	20223	0
274000	-178000	20099	0
274000	-177000	20024	0
274000	-176000	20000	0
274000	-175000	20024	0
274000	-174000	20099	0
274000	-173000	20223	0
274000	-172000	20396	0
274000	-171000	20615	0
274000	-170000	20880	0
274000	-169000	21189	0
274000	-168000	21540	0
274000	-167000	21931	0
274000	-166000	22360	0
274000	-165000	22825	0
274000	-164000	23323	0
274000	-163000	23853	0
274000	-162000	24413	0
274000	-161000	25000	0
274000	-160000	25612	0
274000	-159000	26248	0
274000	-158000	26907	0
274000	-157000	27586	0
274000	-156000	28284	0
274000	-155000	29000	0
274000	-154000	29732	0
274000	-153000	30479	0
274000	-152000	31240	0
274000	-151000	32015	0
274000	-150000	32802	0
274000	-149000	33600	0
274000	-148000	34409	0
274000	-147000	35227	0
274000	-146000	36055	0
275000	-218000	46097	0
275000	-217000	45188	0
275000	-216000	44283	0
275000	-215000	43382	0
275000	-214000	42485	0
275000	-213000	41593	0
275000	-212000	40706	0
275000	-211000	39824	0
275000	-210000	38948	0
275000	-209000	38078	0
275000	-208000	37215	0
275000	-207000	36359	0
275000	-206000	35510	0
275000	-205000	34669	0
275000	-204000	33837	0
275000	-203000	33015	0
275000	-202000	32202	0
275000	-201000	31400	0
275000	-200000	30610	0
275000	-199000	29832	0
275000	-198000	29068	0
275000	-197000	28319	0
275000	-196000	27586	0
275000	-195000	26870	0
275000	-194000	26172	0
275000	-193000	25495	0
275000	-192000	24839	0
275000	-191000	24207	0
275000	-190000	23600	0
275000	-189000	23021	0
275000	-188000	22472	0
275000	-187000	21954	0
275000	-186000	21470	0
275000	-185000	21023	0
275000	-184000	20615	0
275000	-183000	20248	0
275000	-182000	19924	0
275000	-181000	19646	0
275000	-180000	19416	0
275000	-179000	19235	0
275000	-178000	19104	0
275000	-177000	19026	0
275000	-176000	19000	0
275000	-175000	19026	0
275000	-174000	19104	0
275000	-173000	19235	0
275000	-172000	19416	0
275000	-171000	19646	0
275000	-170000	19924	0
275000	-169000	20248	0
275000	-168000	20615	0
275000	-167000	21023	0
275000	-166000	21470	0
275000	-165000	21954	0
275000	-164000	22472	0
275000	-163000	23021	0
275000	-162000	23600	0
275000	-161000	24207	0
275000	-160000	24839	0
275000	-159000	25495	0
275000	-158000	26172	0
275000	-157000	26870	0
275000	-156000	27586	0
275000	-155000	28319	0
275000	-154000	29068	0
275000	-153000	29832	0
275000	-152000	30610	0
275000	-151000	31400	0
275000	-150000	32202	0
275000	-149000	33015	0
275000	-148000	33837	0
275000	-147000	34669	0
275000	-146000	35510	0
276000	-218000	45694	0
276000	-217000	44777	0
276000	-216000	43863	0
276000	-215000	42953	0
276000	-214000	42047	0
276000	-213000	41146	0
276000	-212000	40249	0
276000	-211000	39357	0
276000	-210000	38470	0
276000	-209000	37589	0
276000	-208000	36715	0
276000	-207000	35846	0
276000	-206000	34985	0
276000	-205000	34132	0
276000	-204000	33286	0
276000	-203000	32449	0
276000	-202000	31622	0
276000	-201000	30805	0
276000	-200000	30000	0
276000	-199000	29206	0
276000	-198000	28425	0
276000	-197000	27658	0
276000	-196000	26907	0
276000	-195000	26172	0
276000	-194000	25455	0
276000	-193000	24758	0
276000	-192000	24083	0
276000	-191000	23430	0
276000	-190000	22803	0
276000	-189000	22203	0
276000	-188000	21633	0
276000	-187000	21095	0
276000	-186000	20591	0
276000	-185000	20124	0
276000	-184000	19697	0
276000	-183000	19313	0
276000	-182000	18973	0
276000	-181000	18681	0
276000	-180000	18439	0
276000	-179000	18248	0
