S_micro\tT_micro\tdiff\tbasin
S_micro	T_micro	diff	0
263000	-130887	54737	0
263000	-127887	57235	0
263000	-124887	59779	0
263000	-121887	62363	0
263000	-118887	64983	0
263000	-115887	67635	0
263000	-112887	70315	0
263000	-109887	73020	0
263000	-106887	75746	0
266000	-256887	85143	0
266000	-253887	82694	0
266000	-250887	79950	0
266000	-247887	77147	0
266000	-244887	74360	0
266000	-241887	71589	0
266000	-238887	68838	0
266000	-235887	66109	0
266000	-232887	63404	0
266000	-229887	60727	0
266000	-226887	58081	0
266000	-223887	55472	0
266000	-220887	52904	0
266000	-217887	50383	0
266000	-214887	47918	0
266000	-211887	45517	0
266000	-208887	43192	0
266000	-205887	40954	0
266000	-202887	38818	0
266000	-199887	36804	0
266000	-196887	34932	0
266000	-193887	33225	0
266000	-190887	31711	0
266000	-187887	30418	0
266000	-184887	29376	0
266000	-181887	28612	0
266000	-178887	28148	0
266000	-175887	28000	0
266000	-172887	28172	0
266000	-169887	28659	0
266000	-166887	29445	0
266000	-163887	30507	0
266000	-160887	31818	0
266000	-157887	33347	0
266000	-154887	35067	0
266000	-151887	36951	0
266000	-148887	38975	0
266000	-145887	41119	0
266000	-142887	43364	0
266000	-139887	45696	0
266000	-136887	48102	0
266000	-133887	50571	0
266000	-130887	53095	0
266000	-127887	55667	0
266000	-124887	58279	0
266000	-121887	60927	0
266000	-118887	63607	0
266000	-115887	66314	0
266000	-112887	69045	0
266000	-109887	71797	0
266000	-106887	74569	0
269000	-256887	83472	0
269000	-253887	80972	0
269000	-250887	78508	0
269000	-247887	76082	0
269000	-244887	73283	0
269000	-241887	70470	0
269000	-238887	67674	0
269000	-235887	64895	0
269000	-232887	62137	0
269000	-229887	59403	0
269000	-226887	56696	0
269000	-223887	54020	0
269000	-220887	51379	0
269000	-217887	48780	0
269000	-214887	46229	0
269000	-211887	43736	0
269000	-208887	41310	0
269000	-205887	38964	0
269000	-202887	36713	0
269000	-199887	34577	0
269000	-196887	32577	0
269000	-193887	30739	0
269000	-190887	29096	0
269000	-187887	27682	0
269000	-184887	26532	0
269000	-181887	25683	0
269000	-178887	25166	0
269000	-175887	25000	0
269000	-172887	25193	0
269000	-169887	25736	0
269000	-166887	26609	0
269000	-163887	27779	0
269000	-160887	29213	0
269000	-157887	30872	0
269000	-154887	32722	0
269000	-151887	34733	0
269000	-148887	36879	0
269000	-145887	39138	0
269000	-142887	41490	0
269000	-139887	43922	0
269000	-136887	46420	0
269000	-133887	48974	0
269000	-130887	51576	0
269000	-127887	54220	0
269000	-124887	56899	0
269000	-121887	59608	0
269000	-118887	62344	0
269000	-115887	65104	0
269000	-112887	67884	0
269000	-109887	70681	0
269000	-106887	73495	0
272000	-256887	81876	0
272000	-253887	79327	0
272000	-250887	76810	0
272000	-247887	74328	0
272000	-244887	71887	0
272000	-241887	69462	0
272000	-238887	66624	0
272000	-235887	63800	0
272000	-232887	60992	0
272000	-229887	58204	0
272000	-226887	55439	0
272000	-223887	52698	0
272000	-220887	49988	0
272000	-217887	47313	0
272000	-214887	44678	0
272000	-211887	42093	0
272000	-208887	39567	0
272000	-205887	37111	0
272000	-202887	34740	0
272000	-199887	32474	0
272000	-196887	30335	0
272000	-193887	28353	0
272000	-190887	26563	0
272000	-187887	25006	0
272000	-184887	23727	0
272000	-181887	22774	0
272000	-178887	22188	0
272000	-175887	22000	0
272000	-172887	22219	0
272000	-169887	22833	0
272000	-166887	23812	0
272000	-163887	25114	0
272000	-160887	26690	0
272000	-157887	28497	0
272000	-154887	30491	0
272000	-151887	32641	0
272000	-148887	34915	0
272000	-145887	37293	0
272000	-142887	39755	0
272000	-139887	42286	0
272000	-136887	44875	0
272000	-133887	47513	0
272000	-130887	50191	0
272000	-127887	52904	0
272000	-124887	55646	0
272000	-121887	58414	0
272000	-118887	61203	0
272000	-115887	64012	0
272000	-112887	66837	0
272000	-109887	69677	0
272000	-106887	72530	0
275000	-256887	80361	0
275000	-253887	77762	0
275000	-250887	75192	0
275000	-247887	72656	0
275000	-244887	70156	0
275000	-241887	67697	0
275000	-238887	65283	0
275000	-235887	62828	0
275000	-232887	59976	0
275000	-229887	57138	0
275000	-226887	54318	0
275000	-223887	51518	0
275000	-220887	48742	0
275000	-217887	45994	0
275000	-214887	43280	0
275000	-211887	40606	0
275000	-208887	37980	0
275000	-205887	35415	0
275000	-202887	32922	0
275000	-199887	30521	0
275000	-196887	28235	0
275000	-193887	26094	0
275000	-190887	24137	0
275000	-187887	22412	0
275000	-184887	20975	0
275000	-181887	19891	0
275000	-178887	19218	0
275000	-175887	19000	0
275000	-172887	19253	0
275000	-169887	19959	0
275000	-166887	21072	0
275000	-163887	22532	0
275000	-160887	24277	0
275000	-157887	26250	0
275000	-154887	28403	0
275000	-151887	30699	0
275000	-148887	33107	0
275000	-145887	35606	0
275000	-142887	38176	0
275000	-139887	40806	0
275000	-136887	43483	0
275000	-133887	46200	0
275000	-130887	48950	0
275000	-127887	51728	0
275000	-124887	54530	0
275000	-121887	57351	0
275000	-118887	60190	0
275000	-115887	63044	0
275000	-112887	65910	0
275000	-109887	68789	0
275000	-106887	71677	0
278000	-256887	78931	0
278000	-253887	76283	0
278000	-250887	73662	0
278000	-247887	71071	0
278000	-244887	68513	0
278000	-241887	65993	0
278000	-238887	63514	0
278000	-235887	61083	0
278000	-232887	58703	0
278000	-229887	56212	0
278000	-226887	53343	0
278000	-223887	50489	0
278000	-220887	47653	0
278000	-217887	44838	0
278000	-214887	42049	0
278000	-211887	39292	0
278000	-208887	36572	0
278000	-205887	33900	0
278000	-202887	31287	0
278000	-199887	28750	0
278000	-196887	26310	0
