2025-09-11T12:03:06-04:00	23276a1 HEAD@{2025-09-11T12:03:06-04:00}: commit: ci: skip entire language stacks when untouched via dorny/paths-filter; keep sharding & caches
2025-09-11T11:56:57-04:00	b829f54 HEAD@{2025-09-11T11:56:57-04:00}: commit: ci: nightly cache warmer to keep deps & build caches hot (improves first-run latency)
2025-09-11T11:56:52-04:00	0b8c494 HEAD@{2025-09-11T11:56:52-04:00}: commit: ci: push toward 10x — fix shard helper, 8-way sharding, cargo-chef deps cache, pytest xdist, GHA Docker cache
2025-09-11T11:52:43-04:00	c4b2d02 HEAD@{2025-09-11T11:52:43-04:00}: commit: ci(heavy): add Rust sccache, Go build-cache, and Docker Buildx cache; keep path filters + sharding
2025-09-11T11:48:08-04:00	97a6b36 HEAD@{2025-09-11T11:48:08-04:00}: commit: ci: add heavy workflow with path filtering, warm caches, and sharded test skeleton; add shard helper
2025-09-11T11:38:51-04:00	63b3885 HEAD@{2025-09-11T11:38:51-04:00}: commit: ci: collapse branch-protection gh api call to single line; avoid -F split errors; clear hints
2025-09-11T11:36:07-04:00	89dec9f HEAD@{2025-09-11T11:36:07-04:00}: commit: ci: harden branch-protection helper (API headers, dual contexts, clear hints)
2025-09-11T11:33:44-04:00	1a3bc03 HEAD@{2025-09-11T11:33:44-04:00}: commit: guardrails: pre-push spec_guard; optional branch protection via gh; keep LF+format invariants
2025-09-11T11:31:15-04:00	83a1ad0 HEAD@{2025-09-11T11:31:15-04:00}: commit: docs: add spec-guard badge to README and CI explainer prose
2025-09-11T11:29:42-04:00	b13f566 HEAD@{2025-09-11T11:29:42-04:00}: commit: docs: finalize v1.2 spec (ordering, vector, τ-recipe, TCB, protocol); remove aside; CI guard wired
2025-09-11T11:28:00-04:00	e283ef5 HEAD@{2025-09-11T11:28:00-04:00}: commit: chore: enforce LF for chain.head via .gitattributes
2025-09-11T11:26:22-04:00	cfec395 HEAD@{2025-09-11T11:26:22-04:00}: commit: ci(spec-guard): build demo manifest+receipt in CI before running guard
2025-09-11T11:21:35-04:00	75cdf22 HEAD@{2025-09-11T11:21:35-04:00}: commit: ci(spec-guard): enforce monograph v1.2 invariants (test-vector hash, chain-head format, merkle equality)
2025-09-11T00:07:46-04:00	a62bf82 HEAD@{2025-09-11T00:07:46-04:00}: commit: chore(docs): tighten key-order adjective
2025-09-11T00:01:25-04:00	cfaaace HEAD@{2025-09-11T00:01:25-04:00}: commit: chore(docs): canonicalize monograph; clarify canonical key order and ingress env mapping
2025-09-10T23:39:52-04:00	05ade8a HEAD@{2025-09-10T23:39:52-04:00}: commit: ci: normalize top-level concurrency (fast)
2025-09-10T23:39:50-04:00	7411a8e HEAD@{2025-09-10T23:39:50-04:00}: commit: ci: normalize top-level concurrency (prewarm)
2025-09-10T23:12:20-04:00	7166eba HEAD@{2025-09-10T23:12:20-04:00}: commit: ci: swap lean-action → elan bootstrap; grant bench publish perms
2025-09-10T23:10:45-04:00	0513f3a HEAD@{2025-09-10T23:10:45-04:00}: commit: ci: disable noisy workflows (keep ci-fast, ci-bench, ci-prewarm, ci-lint, codeql)
2025-09-10T22:06:47-04:00	a9465f0 HEAD@{2025-09-10T22:06:47-04:00}: commit: ci: warm cache
