n	s	t	Delta	a	b
5	0.90	0.01	0.570309608399	0.153820826383	0.724130434783
5	0.90	0.02	0.580309608399	0.153820826383	0.734130434783
5	0.90	0.03	0.590309608399	0.153820826383	0.744130434783
5	0.90	0.04	0.600309608399	0.153820826383	0.754130434783
5	0.95	0.00	0.599983521443	0.153820826383	0.753804347826
5	0.95	0.01	0.609983521443	0.153820826383	0.763804347826
5	0.95	0.02	0.619983521443	0.153820826383	0.773804347826
5	0.95	0.03	0.629983521443	0.153820826383	0.783804347826
5	0.95	0.04	0.639983521443	0.153820826383	0.793804347826
5	1.00	0.00	0.639657434486	0.153820826383	0.793478260870
5	1.00	0.01	0.648228863058	0.153820826383	0.802049689441
5	1.00	0.02	0.656800291629	0.153820826383	0.810621118012
5	1.00	0.03	0.665371720201	0.153820826383	0.819192546584
5	1.00	0.04	0.673943148772	0.153820826383	0.827763975155
6	0.70	0.00	0.396689690228	0.158745092381	0.555434782609
6	0.70	0.01	0.406689690228	0.158745092381	0.565434782609
6	0.70	0.02	0.416689690228	0.158745092381	0.575434782609
6	0.70	0.03	0.426689690228	0.158745092381	0.585434782609
6	0.70	0.04	0.436689690228	0.158745092381	0.595434782609
6	0.75	0.00	0.436363603271	0.158745092381	0.595108695652
6	0.75	0.01	0.446363603271	0.158745092381	0.605108695652
6	0.75	0.02	0.456363603271	0.158745092381	0.615108695652
6	0.75	0.03	0.466363603271	0.158745092381	0.625108695652
6	0.75	0.04	0.476363603271	0.158745092381	0.635108695652
6	0.80	0.00	0.476037516315	0.158745092381	0.634782608696
6	0.80	0.01	0.486037516315	0.158745092381	0.644782608696
6	0.80	0.02	0.496037516315	0.158745092381	0.654782608696
6	0.80	0.03	0.506037516315	0.158745092381	0.664782608696
6	0.80	0.04	0.516037516315	0.158745092381	0.674782608696
6	0.85	0.00	0.515711429358	0.158745092381	0.674456521739
6	0.85	0.01	0.525711429358	0.158745092381	0.684456521739
6	0.85	0.02	0.535711429358	0.158745092381	0.694456521739
6	0.85	0.03	0.545711429358	0.158745092381	0.704456521739
6	0.85	0.04	0.555711429358	0.158745092381	0.714456521739
6	0.90	0.00	0.555385342401	0.158745092381	0.714130434783
6	0.90	0.01	0.565385342401	0.158745092381	0.724130434783
6	0.90	0.02	0.575385342401	0.158745092381	0.734130434783
6	0.90	0.03	0.585385342401	0.158745092381	0.744130434783
6	0.90	0.04	0.595385342401	0.158745092381	0.754130434783
6	0.95	0.00	0.595059255445	0.158745092381	0.753804347826
6	0.95	0.01	0.605059255445	0.158745092381	0.763804347826
6	0.95	0.02	0.615059255445	0.158745092381	0.773804347826
6	0.95	0.03	0.625059255445	0.158745092381	0.783804347826
6	0.95	0.04	0.635059255445	0.158745092381	0.793804347826
6	1.00	0.00	0.634733168488	0.158745092381	0.793478260870
6	1.00	0.01	0.643304597060	0.158745092381	0.802049689441
6	1.00	0.02	0.651876025631	0.158745092381	0.810621118012
6	1.00	0.03	0.660447454203	0.158745092381	0.819192546584
6	1.00	0.04	0.669018882774	0.158745092381	0.827763975155
7	0.70	0.00	0.392517724140	0.162917058468	0.555434782609
7	0.70	0.01	0.402517724140	0.162917058468	0.565434782609
7	0.70	0.02	0.412517724140	0.162917058468	0.575434782609
7	0.70	0.03	0.422517724140	0.162917058468	0.585434782609
7	0.70	0.04	0.432517724140	0.162917058468	0.595434782609
7	0.75	0.00	0.432191637184	0.162917058468	0.595108695652
7	0.75	0.01	0.442191637184	0.162917058468	0.605108695652
7	0.75	0.02	0.452191637184	0.162917058468	0.615108695652
7	0.75	0.03	0.462191637184	0.162917058468	0.625108695652
7	0.75	0.04	0.472191637184	0.162917058468	0.635108695652
7	0.80	0.00	0.471865550227	0.162917058468	0.634782608696
7	0.80	0.01	0.481865550227	0.162917058468	0.644782608696
7	0.80	0.02	0.491865550227	0.162917058468	0.654782608696
7	0.80	0.03	0.501865550227	0.162917058468	0.664782608696
7	0.80	0.04	0.511865550227	0.162917058468	0.674782608696
7	0.85	0.00	0.511539463271	0.162917058468	0.674456521739
7	0.85	0.01	0.521539463271	0.162917058468	0.684456521739
7	0.85	0.02	0.531539463271	0.162917058468	0.694456521739
7	0.85	0.03	0.541539463271	0.162917058468	0.704456521739
7	0.85	0.04	0.551539463271	0.162917058468	0.714456521739
7	0.90	0.00	0.551213376314	0.162917058468	0.714130434783
7	0.90	0.01	0.561213376314	0.162917058468	0.724130434783
7	0.90	0.02	0.571213376314	0.162917058468	0.734130434783
7	0.90	0.03	0.581213376314	0.162917058468	0.744130434783
7	0.90	0.04	0.591213376314	0.162917058468	0.754130434783
